timestamp,domain,epoch_id,operation,duration_ms,num_fragments
1780502125,domain056.test,900,decrypt_2,1.700,10
1780502125,domain051.test,900,decrypt_2,1.454,10
1780502125,domain059.test,900,decrypt_2,1.779,10
1780502130,domain062.test,900,decrypt_1,6.693,12
1780502134,domain071.test,900,decrypt_1,6.656,15
1780502135,domain079.test,900,decrypt_2,4.688,15
1780502135,domain072.test,900,decrypt_2,6.087,15
1780502135,domain076.test,900,decrypt_2,6.901,15
1780502135,domain080.test,900,decrypt_2,4.726,15
1780502135,domain073.test,900,decrypt_3,5.336,15
1780502135,domain078.test,900,decrypt_3,6.283,15
1780502135,domain077.test,900,decrypt_3,9.224,15
1780502135,domain075.test,900,decrypt_3,3.175,15
1780502135,domain074.test,900,decrypt_3,2.458,15
1780502139,domain090.test,900,decrypt_3,5.825,20
1780502139,domain089.test,900,decrypt_3,3.973,20
1780502139,domain085.test,900,decrypt_3,3.771,20
1780502140,domain088.test,900,decrypt_4,2.580,20
1780502140,domain086.test,900,decrypt_4,8.845,20
1780502140,domain087.test,900,decrypt_4,3.920,20
1780502140,domain084.test,900,decrypt_4,4.661,20
1780502140,domain083.test,900,decrypt_4,6.777,20
1780502144,domain099.test,900,decrypt_4,6.142,30
1780502144,domain096.test,900,decrypt_4,6.428,30
1780502144,domain099.test,900,decrypt_5,3.053,30
1780502144,domain098.test,900,decrypt_5,3.459,30
1780502144,domain096.test,900,decrypt_5,1.511,30
1780502144,domain092.test,900,decrypt_5,1.586,30
1780502144,domain093.test,900,decrypt_5,1.576,30
1780502144,domain091.test,900,decrypt_5,1.561,30
1780502145,domain100.test,900,decrypt_6,1.625,30
1780502145,domain098.test,900,decrypt_6,1.578,30
1780502145,domain097.test,900,decrypt_6,1.539,30
1780502145,domain094.test,900,decrypt_6,1.497,30
1780502145,domain092.test,900,decrypt_6,1.573,30
1780502145,domain095.test,900,decrypt_6,1.588,30
1780502145,domain093.test,900,decrypt_6,1.569,30
1780502145,domain091.test,900,decrypt_6,1.530,30
1780502145,domain100.test,900,decrypt_7,1.634,30
1780502145,domain097.test,900,decrypt_7,2.066,30
1780502145,domain094.test,900,decrypt_7,1.580,30
1780502145,domain095.test,900,decrypt_7,1.574,30
1780502162,domain030.test,1780502162900,,domain029.testdecrypt_1,,900,6decrypt_1.,4974,.4488
,4
1780502162,domain027.test,900,decrypt_1,6.129,4
1780502162,domain028.test,900,decrypt_1,7.153,4
1780502162,domain021.test,900,decrypt_1,6.575,4
1780502162,domain026.test,900,decrypt_1,6.461,4
1780502162,domain024.test,900,decrypt_1,3.127,4
1780502163,domain022.test,900,decrypt_1,5.123,4
1780502163,domain025.test,900,decrypt_1,5.298,4
1780502163,domain023.test,900,decrypt_1,7.192,4
1780502181,domain068.test,900,decrypt_2,7.158,12
1780502181,domain069.test,900,decrypt_2,9.302,12
1780502181,domain063.test,900,decrypt_2,4.249,12
1780502181,domain062.test,900,decrypt_2,7.393,12
1780502181,domain070.test,900,decrypt_3,7.744,12
1780502181,domain064.test,900,decrypt_3,3.257,12
1780502182,domain061.test,900,decrypt_3,6.117,12
1780502182,domain065.test,900,decrypt_3,9.063,12
1780502182,domain066.test,900,decrypt_3,8.930,12
1780502182,domain067.test,900,decrypt_3,3.745,12
1780502185,domain071.test,900,decrypt_2,7.603,15
1780502185,domain079.test,900,decrypt_3,1.852,15
1780502185,domain072.test,900,decrypt_3,4.763,15
1780502185,domain076.test,900,decrypt_3,7.081,15
1780502185,domain080.test,900,decrypt_3,4.175,15
1780502186,domain073.test,900,decrypt_4,6.771,15
1780502186,domain078.test,900,decrypt_4,7.572,15
1780502186,domain077.test,900,decrypt_4,9.089,15
1780502186,domain075.test,900,decrypt_4,6.958,15
1780502186,domain074.test,900,decrypt_4,7.456,15
1780502189,domain081.test,900,decrypt_3,3.090,20
1780502190,domain090.test,900,decrypt_4,4.465,20
1780502190,domain089.test,900,decrypt_4,5.538,20
1780502190,domain085.test,900,decrypt_4,5.885,20
1780502190,domain082.test,900,decrypt_4,7.470,20
1780502190,domain081.test,900,decrypt_4,4.574,20
1780502190,domain090.test,900,decrypt_5,4.876,20
1780502190,domain089.test,900,decrypt_5,2.986,20
1780502190,domain088.test,900,decrypt_5,4.777,20
1780502190,domain086.test,900,decrypt_5,1.514,20
1780502190,domain085.test,900,decrypt_5,1.575,20
1780502190,domain082.test,900,decrypt_5,7.295,20
1780502190,domain087.test,900,decrypt_5,5.772,20
1780502190,domain083.test,900,decrypt_5,7.496,178050219020,
domain084.test,900,decrypt_5,8.670,20
1780502191,domain088.test,900,decrypt_6,7.878,20
1780502191,domain086.test,900,decrypt_6,6.768,20
1780502191,domain084.test,900,decrypt_6,7.507,20
1780502191,domain087.test,900,decrypt_6,10.053,20
1780502191,domain083.test,900,decrypt_6,7.022,20
1780502195,domain099.test,900,decrypt_6,4.644,30
1780502195,domain096.test,900,decrypt_6,6.032,30
1780502195,domain099.test,900,decrypt_7,4.587,30
1780502195,domain098.test,900,decrypt_7,6.482,30
1780502195,domain096.test,900,decrypt_7,4.574,30
1780502195,domain092.test,900,decrypt_7,1.975,30
1780502195,domain093.test,900,decrypt_7,1.576,30
1780502195,domain091.test,900,decrypt_7,1.521,30
1780502196,domain100.test,900,decrypt_8,1.556,30
1780502196,domain098.test,900,decrypt_8,1.554,30
1780502196,domain097.test,900,decrypt_8,1.591,30
1780502196,domain094.test,900,decrypt_8,1.715,30
1780502196,domain092.test,900,decrypt_8,1.530,30
1780502196,domain095.test,900,decrypt_8,1.572,30
1780502196,domain093.test,900,decrypt_8,1.551,30
1780502196,domain091.test,900,decrypt_8,1.668,30
1780502196,domain100.test,900,decrypt_9,1.528,30
1780502196,domain097.test,900,decrypt_9,1.637,30
1780502196,domain094.test,900,decrypt_9,1.557,30
1780502196,domain095.test,900,decrypt_9,1.541,30
1780502222,domain047.test,900,decrypt_1,3.793,6
1780502223,domain044.test,900,decrypt_1,1.778,6
1780502223,domain046.test,900,decrypt_2,6.069,6
1780502223,domain049.test,900,decrypt_2,4.809,6
1780502223,domain048.test,900,decrypt_2,8.487,6
1780502223,domain050.test,900,decrypt_2,5.884,6
1780502223,domain042.test,900,decrypt_2,4.036,6
1780502223,domain041.test,900,decrypt_2,4.435,6
1780502223,domain043.test,900,decrypt_2,7.337,6
1780502223,domain045.test,900,decrypt_2,7.238,6
1780502227,domain052.test,900,decrypt_1,6.379,10
1780502227,domain055.test,900,decrypt_1,6.465,10
1780502227,domain058.test,900,decrypt_2,4.337,10
1780502227,domain057.test,900,decrypt_2,5.059,10
1780502227,domain054.test,900,decrypt_2,6.422,10
1780502228,domain060.test,900,decrypt_3,4.246,10
1780502228,domain053.test,900,decrypt_3,6.176,10
1780502228,domain056.test,900,decrypt_3,7.231,10
1780502228,domain059.test,900,decrypt_3,8.213,10
1780502231,domain068.test,900,decrypt_3,6.626,12
1780502232,domain063.test,900,decrypt_3,7.633,12
1780502232,domain062.test,900,decrypt_3,7.033,12
1780502232,domain070.test,900,decrypt_4,3.434,12
1780502232,domain061.test,900,decrypt_4,1.771,12
1780502232,domain067.test,900,decrypt_4,1.534,12
1780502233,domain069.test,900,decrypt_3,5.092,12
1780502236,domain080.test,900,decrypt_4,4.518,15
1780502236,domain078.test,900,decrypt_5,7.838,15
1780502236,domain077.test,900,decrypt_5,5.974,15
1780502236,domain073.test,900,decrypt_5,6.502,15
1780502237,domain075.test,900,decrypt_5,7.202,15
1780502237,domain074.test,900,decrypt_5,3.576,15
1780502238,domain071.test,900,decrypt_3,4.029,15
1780502238,domain072.test,900,decrypt_4,4.977,15
1780502238,domain076.test,900,decrypt_4,8.836,15
1780502240,domain081.test,900,decrypt_5,4.569,20
1780502241,domain090.test,900,decrypt_6,3.213,20
1780502241,domain089.test,900,decrypt_6,4.827,20
1780502241,domain082.test,900,decrypt_6,7.577,20
1780502241,domain088.test,900,decrypt_7,5.149,20
1780502241,domain086.test,900,decrypt_7,4.004,20
1780502242,domain087.test,900,decrypt_7,6.302,20
1780502242,domain084.test,900,decrypt_7,7.556,20
1780502242,domain083.test,900,decrypt_7,8.521,20
1780502243,domain085.test,900,decrypt_6,7.135,20
1780502246,domain099.test,900,decrypt_8,5.641,30
1780502246,domain096.test,900,decrypt_8,3.874,30
1780502246,domain098.test,900,decrypt_9,4.199,30
1780502246,domain092.test,900,decrypt_9,1.719,30
1780502246,domain093.test,900,decrypt_9,1.644,30
1780502246,domain091.test,900,decrypt_9,1.547,30
1780502247,domain100.test,900,decrypt_10,1.662,30
1780502247,domain097.test,900,decrypt_10,1.766,30
1780502247,domain094.test,900,decrypt_10,1.755,30
1780502247,domain095.test,900,decrypt_10,1.942,30
